     D, mm	    Re(fa), mm	    Im(fa), mm	    Re(fb), mm     Im(fb), mm
   1.0000000e-01   4.1594406e-07   3.1455894e-09   4.1594406e-07   3.1455894e-09
   2.0000000e-01   3.3273590e-06   2.5114862e-08   3.3273590e-06   2.5114862e-08
   3.0000000e-01   1.1228747e-05   8.4483289e-08   1.1228747e-05   8.4483289e-08
   4.0000000e-01   2.6616674e-05   1.9939270e-07   2.6604670e-05   1.9921178e-07
   5.0000000e-01   5.1986098e-05   3.8726638e-07   5.1934155e-05   3.8648535e-07
   6.0000000e-01   8.9849365e-05   6.6486217e-07   8.9649852e-05   6.6187117e-07
   7.0000000e-01   1.4273013e-04   1.0479431e-06   1.4214753e-04   1.0392405e-06
   8.0000000e-01   2.1316889e-04   1.5511155e-06   2.1177256e-04   1.5303456e-06
   9.0000000e-01   3.0372596e-04   2.1876170e-06   3.0081202e-04   2.1444824e-06
   1.0000000e+00   4.1698402e-04   2.9690871e-06   4.1148769e-04   2.8881697e-06
   1.1000000e+00   5.5555047e-04   3.9053170e-06   5.4595003e-04   3.7648408e-06
   1.2000000e+00   7.2205949e-04   5.0039779e-06   7.0627306e-04   4.7745485e-06
   1.3000000e+00   9.1917381e-04   6.2703227e-06   8.9445002e-04   5.9136800e-06
   1.4000000e+00   1.1495862e-03   7.7068599e-06   1.1123899e-03   7.1746790e-06
   1.5000000e+00   1.4160210e-03   9.3129955e-06   1.3619145e-03   8.5457759e-06
   1.6000000e+00   1.7212345e-03   1.1084639e-05   1.6447569e-03   1.0010720e-05
   1.7000000e+00   2.0680164e-03   1.3013772e-05   1.9625594e-03   1.1548517e-05
   1.8000000e+00   2.4591901e-03   1.5087968e-05   2.3168732e-03   1.3133163e-05
   1.9000000e+00   2.8976125e-03   1.7289868e-05   2.7091581e-03   1.4733378e-05
   2.0000000e+00   3.3861741e-03   1.9596599e-05   3.1407829e-03   1.6312341e-05
   2.1000000e+00   3.9277987e-03   2.1979137e-05   3.6130262e-03   1.7827408e-05
   2.2000000e+00   4.5254424e-03   2.4401591e-05   4.1270774e-03   1.9229838e-05
   2.3000000e+00   5.1820925e-03   2.6820431e-05   4.6840389e-03   2.0464492e-05
   2.4000000e+00   5.9007657e-03   2.9183615e-05   5.2849276e-03   2.1469537e-05
   2.5000000e+00   6.6845065e-03   3.1429638e-05   5.9306774e-03   2.2176125e-05
   2.6000000e+00   7.5363843e-03   3.3486475e-05   6.6221420e-03   2.2508064e-05
   2.7000000e+00   8.4594908e-03   3.5270407e-05   7.3600971e-03   2.2381466e-05
   2.8000000e+00   9.4569365e-03   3.6684733e-05   8.1452439e-03   2.1704377e-05
   2.9000000e+00   1.0531846e-02   3.7618332e-05   8.9782120e-03   2.0376385e-05
   3.0000000e+00   1.1687356e-02   3.7944080e-05   9.8595623e-03   1.8288204e-05
   3.1000000e+00   1.2926606e-02   3.7517089e-05   1.0789791e-02   1.5321226e-05
   3.2000000e+00   1.4252736e-02   3.6172759e-05   1.1769330e-02   1.1347045e-05
   3.3000000e+00   1.5668880e-02   3.3724620e-05   1.2798556e-02   6.2269447e-06
   3.4000000e+00   1.7178155e-02   2.9961930e-05   1.3877787e-02  -1.8865307e-07
   3.5000000e+00   1.8783659e-02   2.4647018e-05   1.5007287e-02  -8.0607818e-06
   3.6000000e+00   2.0488459e-02   1.7512324e-05   1.6187273e-02  -1.7562572e-05
   3.7000000e+00   2.2295583e-02   8.2571160e-06   1.7417910e-02  -2.8879946e-05
   3.8000000e+00   2.4208007e-02  -3.4561682e-06   1.8699320e-02  -4.2212368e-05
   3.9000000e+00   2.6228651e-02  -1.8005990e-05   2.0031580e-02  -5.7773664e-05
   4.0000000e+00   2.8360361e-02  -3.5816249e-05   2.1414724e-02  -7.5792903e-05
   4.1000000e+00   3.0605899e-02  -5.7361338e-05   2.2848746e-02  -9.6515366e-05
   4.2000000e+00   3.2967933e-02  -8.3171799e-05   2.4333597e-02  -1.2020358e-04
   4.3000000e+00   3.5449018e-02  -1.1384064e-04   2.5869189e-02  -1.4713848e-04
   4.4000000e+00   3.8051585e-02  -1.5003040e-04   2.7455393e-02  -1.7762060e-04
   4.5000000e+00   4.0777925e-02  -1.9248107e-04   2.9092037e-02  -2.1197146e-04
   4.6000000e+00   4.3630172e-02  -2.4201900e-04   3.0778907e-02  -2.5053498e-04
   4.7000000e+00   4.6610287e-02  -2.9956690e-04   3.2515740e-02  -2.9367908e-04
   4.8000000e+00   4.9720041e-02  -3.6615502e-04   3.4302229e-02  -3.4179735e-04
   4.9000000e+00   5.2960994e-02  -4.4293392e-04   3.6138012e-02  -3.9531091e-04
   5.0000000e+00   5.6334478e-02  -5.3118871e-04   3.8022671e-02  -4.5467034e-04
   5.1000000e+00   5.9841576e-02  -6.3235525e-04   3.9955728e-02  -5.2035782e-04
   5.2000000e+00   6.3483100e-02  -7.4803851e-04   4.1936639e-02  -5.9288935e-04
   5.3000000e+00   6.7259571e-02  -8.8003334e-04   4.3964785e-02  -6.7281717e-04
   5.4000000e+00   7.1171194e-02  -1.0303481e-03   4.6039469e-02  -7.6073229e-04
   5.5000000e+00   7.5217834e-02  -1.2012317e-03   4.8159905e-02  -8.5726710e-04
   5.6000000e+00   7.9398993e-02  -1.3952042e-03   5.0325211e-02  -9.6309825e-04
   5.7000000e+00   8.3713780e-02  -1.6150921e-03   5.2534402e-02  -1.0789494e-03
   5.8000000e+00   8.8160883e-02  -1.8640685e-03   5.4786377e-02  -1.2055944e-03
   5.9000000e+00   9.2738541e-02  -2.1456997e-03   5.7079910e-02  -1.3438601e-03
   6.0000000e+00   9.7444510e-02  -2.4639978e-03   5.9413642e-02  -1.4946294e-03
   6.1000000e+00   1.0227603e-01  -2.8234829e-03   6.1786065e-02  -1.6588443e-03
   6.2000000e+00   1.0722978e-01  -3.2292536e-03   6.4195518e-02  -1.8375087e-03
   6.3000000e+00   1.1230186e-01  -3.6870691e-03   6.6640169e-02  -2.0316912e-03
   6.4000000e+00   1.1748772e-01  -4.2034455e-03   6.9118011e-02  -2.2425272e-03
   6.5000000e+00   1.2278212e-01  -4.7857662e-03   7.1626844e-02  -2.4712206e-03
   6.6000000e+00   1.2817912e-01  -5.4424119e-03   7.4164273e-02  -2.7190457e-03
   6.7000000e+00   1.3367193e-01  -6.1829127e-03   7.6727695e-02  -2.9873470e-03
   6.8000000e+00   1.3925298e-01  -7.0181260e-03   7.9314289e-02  -3.2775390e-03
   6.9000000e+00   1.4491372e-01  -7.9604454e-03   8.1921016e-02  -3.5911036e-03
   7.0000000e+00   1.5064465e-01  -9.0240482e-03   8.4544612e-02  -3.9295873e-03
   7.1000000e+00   1.5643522e-01  -1.0225187e-02   8.7181588e-02  -4.2945946e-03
   7.2000000e+00   1.6227372e-01  -1.1582533e-02   8.9828230e-02  -4.6877796e-03
   7.3000000e+00   1.6814722e-01  -1.3117591e-02   9.2480608e-02  -5.1108349e-03
   7.4000000e+00   1.7404153e-01  -1.4855184e-02   9.5134589e-02  -5.5654753e-03
   7.5000000e+00   1.7994106e-01  -1.6824040e-02   9.7785846e-02  -6.0534180e-03
   7.6000000e+00   1.8582879e-01  -1.9057490e-02   1.0042989e-01  -6.5763565e-03
   7.7000000e+00   1.9168623e-01  -2.1594303e-02   1.0306209e-01  -7.1359285e-03
   7.8000000e+00   1.9749339e-01  -2.4479702e-02   1.0567774e-01  -7.7336751e-03
   7.9000000e+00   2.0322883e-01  -2.7766573e-02   1.0827205e-01  -8.3709923e-03
   8.0000000e+00   2.0886977e-01  -3.1516933e-02   1.1084027e-01  -9.0490706e-03
